colsample_bytree,learning_rate,max_depth,subsample,n_estimators,score,cross_validation_score,cross_validation_error_margin
0.3,0.2,4,0.9,997,0.9050279329608939,0.8170610758897746,0.028983505329253072
0.8,0.2,5,0.5,680,0.8770949720670391,0.8170924612390935,0.025491422617056263
0.9,0.2,9,0.5,451,0.8715083798882681,0.818234887954303,0.0276712975776704
0.3,0.2,12,0.8,456,0.8324022346368715,0.8193145439708743,0.027767255501301897
0.3,0.8,13,0.5,56,0.88268156424581,0.8204318624066286,0.02096920555507386
0.3,0.2,3,0.9,873,0.8603351955307262,0.8215554579122465,0.01673831731823461
0.3,0.2,5,1.0,1142,0.8603351955307262,0.8226790534178645,0.02714256398132652
1.0,0.01,3,0.8,4994,0.8435754189944135,0.8260435628648548,0.01222294924361156
0.8,0.1,3,0.5,911,0.8770949720670391,0.8260561170045821,0.018613945542466738
0.8,0.01,5,0.5,3339,0.8659217877094972,0.8271922666499277,0.01958100729447747
0.3,0.1,4,0.5,629,0.8547486033519553,0.8282970309459545,0.017826308163182276
0.3,0.2,5,0.5,431,0.8547486033519553,0.8283033080158182,0.022463094184695286
0.3,0.008,3,1.0,5000,0.888268156424581,0.8305316678174629,0.01518868809219353
0.3,0.009,3,1.0,4999,0.8603351955307262,0.8316427091833531,0.014288897158751259
0.3,0.2,5,0.5,306,0.8659217877094972,0.8327788588286987,0.014737605616620837
1.0,0.008,3,0.5,4995,0.8659217877094972,0.8361433682756889,0.01022234655279627
